frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
685,car,0.82,72,43,78,369,477,,,,,,
725,bus,0.36,77,1,10,440,475,,,,,,
736,bus,0.33,79,12,33,439,478,,,,,,
876,car,0.71,95,350,197,394,239,,,,,,
889,bus,0.49,101,12,64,381,478,,,,,,
919,car,0.63,103,341,193,387,236,,,,,,
949,car,0.38,105,0,96,161,366,,,,,,
954,car,0.73,107,94,194,131,228,,,,,,
992,car,0.56,114,344,187,383,223,,,,,,

--- An�lisis realizado: 2025-05-19 21:57:41 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
1,car,0.92,1,0,305,394,758,0.96,0,490,154,572,752YEH
1,car,0.76,2,0,737,478,863,,,,,,
3,car,0.49,3,375,363,437,420,,,,,,
12,car,0.48,4,424,320,479,394,,,,,,
33,car,0.65,9,454,320,480,410,,,,,,
107,car,0.7,13,340,341,436,528,,,,,,
250,car,0.55,20,358,370,436,524,,,,,,

--- An�lisis realizado: 2025-05-19 21:59:12 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
1,car,0.92,1,0,305,394,758,0.96,0,490,154,572,752YEH
1,car,0.76,2,0,737,478,863,,,,,,
3,car,0.49,3,375,363,437,420,,,,,,
12,car,0.48,4,424,320,479,394,,,,,,
33,car,0.65,9,454,320,480,410,,,,,,
107,car,0.7,13,340,341,436,528,,,,,,
250,car,0.55,20,358,370,436,524,,,,,,

--- An�lisis realizado: 2025-05-19 22:00:01 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
397,car,0.91,1,7,166,379,477,1.0,130,260,223,318,KMK461
531,car,0.31,6,56,137,140,359,,,,,,
2025-05-21 13:47:56,1,car,FMA861,0.16,58
2025-05-21 13:48:03,1,car,YMY461,0.17,58
2025-05-21 13:48:03,1,car,YPF401,0.22,58
2025-05-21 13:48:05,1,car,YMK461,0.39,58
2025-05-21 13:48:06,1,car,KMK461,0.63,58
2025-05-21 13:48:55,1,car,KMK461,0.63,58
2025-05-21 13:48:55,19,car,KHK401,0.27,260
2025-05-21 13:48:56,1,car,KMK461,0.63,58
2025-05-21 13:48:56,19,car,MK401,0.33,260
2025-05-21 13:48:56,1,car,KMK461,0.63,58
2025-05-21 13:48:56,19,car,KMA401,0.46,260
2025-05-21 13:49:00,1,car,KMK461,0.63,58
2025-05-21 13:49:00,19,car,YMK461,0.8,260
2025-05-21 13:49:20,1,car,KMK461,0.63,58
2025-05-21 13:49:20,19,car,YMK461,0.8,260
2025-05-21 14:02:23,1,car,752YEH,0.96,1
2025-05-21 14:02:34,1,car,752YEH,0.96,1
2025-05-21 14:03:40,1,car,MY4411,0.36,1
2025-05-21 14:03:41,1,car,KMK461,0.9,1
2025-05-21 14:04:07,1,car,KMK461,0.9,1
2025-05-21 14:05:36,1,car,MYA61,0.58,1
2025-05-21 14:05:38,1,car,KMK461,0.86,1
2025-05-21 14:06:08,1,car,KMK461,0.86,1
2025-05-21 14:06:08,21,car,KK461,0.29,169
2025-05-21 14:06:11,1,car,KMK461,0.86,1
2025-05-21 14:06:11,21,car,KA481,0.37,169
2025-05-21 14:06:19,1,car,KMK461,0.86,1
2025-05-21 14:06:19,21,car,KA481,0.37,169

2025-05-21 14:08:58,2,car,KPA481,0.31,5
2025-05-21 14:08:58,2,car,KMK461,0.89,5
2025-05-21 14:09:05,2,car,KMK461,0.89,5
2025-05-21 14:44:29,1,car,KMK461,0.66,1
2025-05-21 14:44:31,1,car,KMK461,0.91,1
2025-05-21 14:44:59,1,car,KMK461,0.91,1
2025-05-21 14:44:59,31,car,8000,0.04,171
2025-05-21 14:45:00,1,car,KMK461,0.91,1
2025-05-21 14:45:00,31,car,5UUUU,0.05,171
